restaurant_id,date,review_id,stars,text,Sentiment
ch174,1/3/2015,revch1,2,"This place just didn't do it for me. The waitress was too interested in selling us stuff and the food wasn't great. We started off with a sausage tower and that was worth it. Everything after was crap. I asked the waitress for something like a ""brat"" and she brought me more like a petrified hot dog. It looked like breakfast sausage. It also had condiments for a hamburger rather than a hot dog or ""brat"" which made absolutely no sense. Who just wants a toasted bun and extra long breakfast sausage? Not me! I also had their Bavarian potato soup and it looked good but really it lacked flavor and the supposed sliced sausage in it was more like sliced ballpark franks. What's sad is I could have had a better loaded sausage at Wienerschnitzel.",negative
ch174,12/28/2014,revch2,5,"Great place! We started off the vegas trip for a friend that is getting married here. The Liter beers were great but what was better was seeing the bachelor get spanked after taking a shot. priceless.

I highly recommend this place. The food was pretty good too and they had a live band while we were there on a thursday night.",positive
ch174,12/27/2014,revch3,4,"Yes, there are some nods to American tourist expectations here BUT...

I had the pleasure of hosting some folks from Bavaria (Regensburg and down in Austria) for a convention in LV and gave them some choices for Christmas dinner.  They chose this place and I have to say I was worried, knowing Americans' propensity to ""Disney-fy"" everything.

They guys loved it saying it was like being home.  Perhaps the HB in Munich is different (and I suspect more than a little driven at tourists as well) but a group of 10 folks who would know found this place perfectly acceptable.

 
It wasn't very busy being Christmas but we made our own party and the band and staff appreciated our efforts.  

The food was good enough and the flavors were as expected.  The jeagerschnitzel wasn't the best I've had in Germany but it was good compared to the crap I've had in American ""German"" restaurants.  The gerkhin salat was great, pretzels were spot on and everyone cleaned their plate.

Yes, the beer is a little expensive but it's brought in directly from Germany without having a different recipe like most ""German"" beers imported to the US, so there is additional cost involved.  It was great to be able to hold a 1 litre mug, singing with the band and swaying back and forth with everyone else in the bench seating.

I WOULD say that coming just for food is a waste... the whole idea is to get in to the fun of being in a German beer hall.  So, if you're looking for a quiet evening out, please go to Joel Robuchon and leave the rest of us to drink and do the chicken dance :)",positive
ch174,12/27/2014,revch4,2,"Though I've never had German food, this wasn't good. The food was salty and plain. Very over priced and not worth it. I wouldn't recommend to eat here,!stop in and take a look is good enough!!",negative
ch174,12/24/2014,revch5,5,"Tikka Takke Tikka Takke Oi Oi Oi!

It's a Bavarian German mess hall with bench seating and bosomed bar maids and boots of booze!

My favorite imported brews are served in giant glass steins with strong heft to them.  Dunkel brau ist mein favorite.  Strangely enough I find a connection with my 3rd generation removed Germanic bloodline to be very intoxicating at Hofbrau.  Decorated in faux old fatherland fixings.  The atmosphere is most inviting and exiting as you are transported to the old castle days reminiscent of lederhosen and clogs.  Think St. Pauli girl in practice.  Various Germanic accents abound they really have a knack for the ""Vegas recreation"" feel here.

The traditional brats wieners and Vienna sausages on order are accompanied quite stoutly with the beers on tap and the pretzels and bitter sides with sauerkraut are an attestment to the dedication to the stout beer this culture has dedicated itself to throughout history.  In other words everything on the menu tastes much better with a glug of beer.  Seriously not knocking the taste of the food in general, but much like most European countries the cuisine is somewhat mated to the alcoholic beverage of favor.  You seriously can't fully appreciate the food with out the drink.  Sour goes great with stout. 

The entertainment is live and seemingly imported as well.  Lively stereotypical lederhosen wearing front man singing and commanding communal cheers throughout the meal.  It is a good idea to keep the large steins filled.  Raise a glass.  Shout an old world cheer.  Take a big drink and slam the glass on the table.  What medieval fun.  Sure to find yourself tipsy you may be ordered a Jeager paddle with assorted shots from which you will be challenged to gullet down in concession and afterwards the bar maids will give you one Hell of a brutal paddling for being a bad boy!  Old drinking game contests may be held from the band and you can possibly get a glass stein for winning.

Major fun can be had at the Hofbruahaus!  Make sure to stagger into the gift shop afterwards and check out the great trinkets mugs and grab a six pack of the great beer for your hangover in the morning.

Prost!",positive
ch174,12/23/2014,revch6,5,"Love this pace! Fun, authentic, great atmosphere! I've been to Hofbrauhaus in Munich, Germany and it was such a great experience, I was pleasantly surprised to find the Hofbrauhaus in Las Vegas managed to capture the same fun atmosphere and great tasting beer and food. Would definitely recommend.",positive
ch174,12/23/2014,revch7,5,"This is our second time in, each time with friends who came into town. Ask for Amanda!!! Tip her well. The service is great, the food is better. You, your family and friends will have a great time here. Ask for Amanda and you will have an especially good time. Drink beer, eat food and laugh!",positive
ch174,12/11/2014,revch8,5,"Have never experienced German food.. the pork sausage.. was amazing.  The beer ""Dunkel"" was smooth... no bitterness.  Great experience",positive
ch174,12/8/2014,revch9,2,"We've been to Hofbrauhaus on previous visits to Vegas and always had a good experience.  After this trip, I have no desire to go back.  We were there for an early dinner, so the service was bit rushed since they weren't busy yet.  We ordered a pretzel for an appetizer.  I recall them being served warm.  This one was cold, so it was just OK.  After being asked several times, we ordered the Veal brats for dinner - it arrived within minutes, so it was all pre-cooked apparently.  This made me very glad we hadn't placed the order earlier.  The meal actually was delicious.  That was the best part of the evening.  What really put a damper on the evening, though, was ordering a shot at the end.  Don't order a shot unless you want a big welt on your butt!  We didn't realize this was the consequence.  On previous trips, members of our party had ordered a shot and did not get whacked.  This time, the staff was very eager and insistent about it.  I was very uncomfortable and was going to leave it (my boyfriend ordered the shot for me), but he finally drank it.  A server other than ours was instantly over and eager to deliver the punishment.  She was actually kind of mean about it and my boyfriend still has a welt on his behind 5 days later.  I guess they get a twisted satisfaction out of being mean to the people to leave them tips for slightly overpriced beer and food.  I was mad because he was really looking forward to going and ended up being in pain for the rest of the evening and the next day.  Hofbrauhaus definitely won't be on my list of places to go on my next trip to Vegas!",negative
ch174,11/30/2014,revch10,2,"Eh.

The beer is tasty when you're on an empty stomach.

we arrived 2 hours before they closed and our waitress wasn't really helpful and seemed urged to close our tab.

the food was Ok, I had the curry dish. the prices are above average, especially for the pint of beer I had. 

would recommend it if it's your first time or if you're a tourist (which i'm not)

Oh, and they sat us aaaall way in the back where nobody was at while they had a live band playing up front, I guess the host's really look out for certain waitresses/servers. 

you won't see me coming here again...",negative
ch174,11/26/2014,revch11,4,"Stopped in for lunch on our 1st day in Vegas-my husband had a burger, the patty was big n juicy, the rest of us had some kinda schnitzel - that was the reason for coming, we wanted to try German food 
Live music, the DJ has a strong German accent that was hard to understand, either that or due to the amount of beer he's drinking, not sure which.
Regardless , he was very entertaining - service was good-glad we came.",positive
ch174,11/26/2014,revch12,3,"I never had real German food until I tried this place. I ordered a white asparagus soup which was oh so tasty. It was creamy and flavorful.

I ordered the chicken sausage which was okay. Ever since I tried the sauerkraut, I've been craving it.

The atmosphere is fun and people here have a good time. There's live music and people are just happy and friendly.",negative
ch174,11/25/2014,revch13,3,I'm not a fan of the German beer or festival but the ambiance and the music was pretty cool.  I could not remember the name let alone say what I ordered but it was basically a thin piece of pork lightly battered with a side of cranberry sauce.  It was pretty damn good and the portion size was huge. I didn't order a beer and was called a girly man by the pretty german waitress. HAHAHA funnay.   This place looks fun once your drunk and in the moment.  the ziggy ziggy oi oi oi was fun.,negative
ch174,11/23/2014,revch14,4,"First time there,I was  in serious bratwurst withdrawals.  Ordered the combo plate of chicken, pork, and something else, with mashed potatoes and sauerkraut.  Wasn't do thrilled with the sauerkraut, the rest was awesome.wife had pork rotary and gravy I helped her to finish. Also really good. Place is rather loud, but the food was great. Will rotten again",positive
ch174,11/20/2014,revch15,3,"Pretty cool I guess I mean not bad for a slow Thursday night. Well me and a friend were in Vegas for short weekend getaway from LA and on our first night we decided to go across the street from our hotel (HardRock) and check this place out. Mainly because he is more of a beer guy and big German culture fan. Anyways we got here around 7:15 or so on a Thursday night and it was somewhat busy but at the same time kinda low energyish and meh. Again your in Vegas so don't expect to find a super big German area like Alpine village so go figure lol. We had a sausage platter sampler thing and it was pretty good as well as a few beers and just enjoyed and kinda relaxed while listening to live music and enjoying some people watching. All in all it was ok not the best but cant complain too much either. The sound system ,I will say, is not the best kinda off balanced and somewhat all over the place half of the time you don't know if they are speaking or singing in English, German or just hard to understand muffled something because yea the sound system is not the best. If I was in the area and just wanted sit around drink beers and enjoy somewhat of a German American ambiance I would defiantly think about coming here again. But if your not particularly a beer person or a fan of uncomfortable seating then maybe pass on this place blah.",negative
ch174,11/19/2014,revch16,5,"Food was absolutely amazing. First time here, I ordered the snitzel combo which was one of the specials for today and got a liter mug of beer. I'm not usually a beer drinking but I loved the beer! The live band was pretty amazing as well. Overall the atmosphere, the band, the service was great! I will definitely be coming back again!",positive
ch174,11/13/2014,revch17,3,"Very good schnitzel and good service, but the apple strudel was not very sweet and the place is super duper loud.  Its a big German beer hall with lots of people laughing and shouting.  All of the noise bounces of the walls and you cannot hear any conversation.  Good beer too.",negative
ch174,11/11/2014,revch18,2,"Hadn't been here for a few years and stopped in last night with a few friends. Beers are way too frickin' expensive at $9 for a pint. The bratwurst deal my buddy bought had the skinniest sausage on the planet and way too much bread, see picture.

Really dead with hardly anyone there and the hostess lied on the phone saying Monday was a great night with a good crowd. Our waitress was mediocre and the band was pretty boring to be honest.

We won't be going back.",negative
ch174,11/6/2014,revch19,4,"Fun German Octoberfest.  Be sure and order a shot, you'll be glad you did! ;-)

I think if you're in Las Vegas, and want to break away for some fun drinking and eating, this is a great alternative.  You won't feel like you're in Vegas, you'll be transported to Bavaria for a bit.",positive
ch174,11/4/2014,revch20,4,"To celebrate Oktoberfest we went to Hofbrauhaus. I forgot that a friend told me that you get seated with strangers on the big long table. I asked the waitress if we can sit somewhere but she kindly rejected. The strangers were guys from Toronto and they were pretty funny and photo bombed us. The food was good, I remember having the famous Bavarian sausage. The price was high though. My friend ordered chicken salad and it was something like $16 she read the menu wrong. There is a section below the entree where it says chicken add this price shrimp add this price . Anyways she thought she could have a better dinner elsewhere. The place is huge with high ceiling. It was very entertaining and loud. A man comes around with big horn and put it on each table and people put money inside and ladies walk around selling shot and the men get paddled. There is German music and every now and then they would cheer and everyone on the table cheered ""Ein Prosit! Zicke, zacke, zicke, zacke, hoi, hoi, hoi, Zicke, zacke, zicke, zacke, hoi, hoi, hoi. Prosit.""
LOL! Good times!!",positive
ch174,11/1/2014,revch21,5,"You want some good German beer and food with great atmosphere? Then this is the spot in Vegas. Awesome staff. Great food. Delicious beer. Came here during their Oktoberfest, awesome! They celebrate it Oct 1st-31st. Take a shot and get paddled!!",positive
ch174,10/26/2014,revch22,4,"I'm not a huge fan of the food at the Hofbräuhaus, but it has the best beer in town and an atmosphere that can't be duplicated. (Unless, perhaps, you're in Bavaria. And even there, I doubt you'll hear a guy mixing traditional German songs with reggae and the ""Hogan's Heroes"" theme song.)

My husband and I met some friends for lunch on a Saturday. We arrived at noon, and the place was nearly empty. By the time we left at 1:30, however, the place was rocking, no doubt due to the entertainment (a one-man band) that began at 1. It was also extremely loud, so if you're looking to have an intimate meal, this is NOT your place! If you're looking for a good, raucous time, give the Haus a whirl.

As I said, the food is not the draw here; it's the beer. We each had a liter of the Oktoberfest, which is a nice, smooth lager. As much a I enjoyed this seasonal offering (and it was the main reason we all decided to meet here for lunch), I was craving the Hofbräu Original, so I got myself a 0.5-liter mug as well. So tasty! And so pricey -- $17 for the Oktoberfest, and $8 for the Original. (Hey, I said it was tasty. I didn't say it was cheap!)

My friends split a jumbo pretzel, complete with sides of mustard, cheese spread, and liver pate. At around $17.50, this was one expensive appetizer. Although they enjoyed their app, my husband and I skipped straight to the entrees. I had the beer sausage (a bratwurst), which was on ""special"" for $16, and he had his old standby, the leberkäse, which is like an upscale grilled Spam loaf. (Sounds bad, but it's oh so good.) My friends had the beer sausage and the giant bratwurst sandwich, and they split of piece of Black Forest cake for dessert. Total damage for lunch (pre-tip): $190. Eek!

There are two dining rooms in the building, and we've sat in both of them. On this occasion, the smaller, indoor beer garden was closed, so we sat in the large beer hall up front. There's usually some sort of entertainment going on, and at night this place can get REALLY loud -- especially during the popular keg-tapping events. So be forewarned. And you'll probably drop a lot of money, if our lunch bill is any indication. But if you're in the mood for a semi-authentic German experience (albeit by Vegas standards), the Hofbräuhaus is the place to go.",positive
ch174,10/24/2014,revch23,2,"HATED IT!  We were invited to a ""family dinner"" with my daughter's new inlaws who were visiting from out-of-town.   We normally try to avoid anything near the strip, but we accepted the invitation.
  The place was a freakin' zoo!   Jam packed and extremely loud!   We couldn't even hear the people sitting next to us, so having a conversation was impossible.
  The food wasn't that great, and overpriced.  Small portions.
  Service was horrible.  There were about 25 of us and we had 2 waitresses.   Our food arrived..... however several of our guests did not receive their food until about 15 minutes later!    
  The best part of the night was watching my new son-in-law get ""spanked"" by the German dominatrix.   Yes... that was fun!
  I guess we're just old fuddy-duddies because we did not enjoy the LOUD atmosphere at all.   We will never go back.",negative
ch174,10/21/2014,revch24,5,"This is a fun place to go and meet up with family and friends, and enjoy the good German food, varieties of different beers, great entertainment. A great tourist destination.",positive
ch174,10/21/2014,revch25,5,"We had our wedding reception here. We had about 30 people and it ended up being buffet. The food was wonderful and the staff were prompt and nice! The pork roast was amazing and so tender!!!!

Originally we requested the beer hall, but it was insane being Oktoberfest, so they moved us to the gardens. I actually think this was a better idea and they gave us a big screen tv to watch the festivities in the beer hall. 

Due to a family issue, we initially had 58 people we contracted for, but it ended up being 31 people instead. Although the contract was written that we would lose money on guests 31-48, they offered us some options that made us feel a lot better about our experience. 

I would definitely suggest this restaurant for large groups and wedding receptions. It was so much fun!!

Big thanks to Karen K who helped us arrange everything!",positive
ch174,10/18/2014,revch26,5,Bomb dot com!,positive
ch174,10/17/2014,revch27,2,Fun environment.  Good service.  Terrible food.,negative
ch174,10/17/2014,revch28,4,"This place is great. Gave 4 stars cause of Anthony the manager. Anthony told us last night at 10:25pm that we must drink up, and get out because the ""automatic alarms"" were going to go off. Other staff was just staring at us dumb founded. Anthony is bad for business.",positive
ch174,10/14/2014,revch29,4,The food was delicious.  The crispy potatoes pancakes with the sauce are so yummy. The braised beef with cabbage and sauteed vegetables are juicy and plump. The hurricane drink is a panty dropper. You dont notice how strong it is until your already gone. Lol.. great food. Great service...,positive
ch174,10/14/2014,revch30,1,"Be warned they are ""open""  until 11 but won't serve past 10:15. Took a cab all the way there knowing they closed at 11 just to be turned away at 10:15. Very disappointing! I thought this was Vegas?  If you don't allow anyone in past 10:15 list that as closing time! Who turns away thirsty people?  Update your information. Waste of time and cab ride.",negative
ch174,10/14/2014,revch31,1,"Advertise that they close at 11pm but when we showed up at 10:15 they informed us that they were no longer letting anyone in and they ""technically"" close at 10:15pm- stop letting people in and stop serving beer. BS! If you close at 10:15pm Pease let people know so they do not waste cab fare getting to your establishment. 

Never coming back...btw, I lived in Germany for two years...this never would have been tolerated in Deutschland.",negative
ch174,10/11/2014,revch32,2,"I really wanted to love the Hofbrauhaus as we just moved from Germany to Vegas and was craving a German experience.  We won't be back.   It was not authentic at all and nothing like the place in Munich.

I called first to be sure they had their great alcoholfrei biers as they do Munich since I'm pregnant. They said yes.  When I got there they acted confused and had one option in a bottle, not the usual hefeweizen, etc.  The waitress apologized for the not-so-smart hostesses that answered the phone.  That was super aggravating!  We ordered the jäger schnitzel and it wasn't schnitzel at all but a dried out pork chop that I been Americanized.  German food doesn't come with so many toppings or garnishes and the pork is pounded thin.  It was also cold...and pricey!  We had a reservation for 4, but two were running late.  They only gave us space at a table for two.

The keg tapping for Oktoberfest was also lackluster.  Maybe if you haven't been to Munich you'd find it mildly entertaining. If you have, keep those memories and skip the vegas location.",negative
ch174,10/7/2014,revch33,5,"We were here Friday for part of the Frozen Fury weekend. Our reservations were ready and on time. The server was very polite and got all of our order right. The atmosphere is awesome, especially since it was filled with other Kings fans. Got the Das Boot (2 liter) and filled it with the Oktoberfest, which was delicious. I ordered the chicken sausage to eat, but after a total of 3 liters of beer I can't give an honest, sober review of the food, but I loved it. There were ladies walking around with $5 shots and you get spanked with a paddle. She hits hard! Definitely looking forward to next year!",positive
ch174,10/6/2014,revch34,1,"I've been to Germany, and I've been to the original Haufbräuhaus.  The atmosphere at this location is great but the food is horrible. The first time I was there for lunch - this was at least 7 years ago, their mashed potatoes tasted like they were from a box and their saurcraut was fresh out of a can and not properly rinsed.  Just went for their Oktoberfest  celebration. I was excited and hopeful that their food had changed.  Nope. Ordered a large pretzel  to share.  Pretzel came out cold and a bit hard. I was excited tho for their currywurst  since I have been craving it since I left Germany. I've had about 8 currywursts in my life and this was the most disgusting currywurst ever. How can you mess up a street cart food like currywurst?! Also they cut up an American hotdog and placed it on top of my fries  for some unknown reason. I'm not ever going back.  I can get my fix of good German beer from the local liquor stores and if I am craving German food I'll go to the Berlin Cafe.",negative
ch174,10/1/2014,revch35,4,We go every year with friends while in Vegas. Love the atmosphere and live entertainment. It's a nice change from the standard issue Vegas neon lights. Well worth a short cab ride to get there!,positive
ch174,9/30/2014,revch36,5,"Jaegermeister, tonight was flavorful!thankfully the mushroom gravy not overly salty perfect with mushrooms abundant enough to not have to hunt for! 
The Oktoberfest beer was yummy enough for a second!  

The band was different on this visit. Change is good! It's reasonable that locals might tire of the same ol same ol or maybe all of my visits happened to have been on nights the old band was booked. 

Blood sausage caught my dining partners attention. By the time I glanced at his plate to ask for a bite.... It was gone!  As it was a first for him I asked before it was served what his plan was if he didn't find it to his liking!  His response ... ""Eat it !""  His take on it? It's ""ok"". I don't think he's a fan! 

Fun way to spend a late afternoon! I've felt for a very long time that Hofbrau Haus is a gem among many in Vegas. For us tho it's a taste of one of our homes... It's sister location in Newport KY was home to many of our family celebrations.",positive
ch174,9/29/2014,revch37,2,$$BEER$$...Just so so. I guess the price of beer made it expensive. Nothing to write home about.,negative
ch174,9/28/2014,revch38,4,"The atmosphere is great. The live band, the standing on your seat and raising your beer, the paddling and shots Our party was only of 3 so we were seated with another party of 3, there was plenty more room at our table and it was fun interacting with everyone. We went on a Saturday night and reaped all this place had to offer. Fun fun fun! 

The food is fine. I loved the pretzel and the potato and cucumber salad. The mustard served with the pretzel was great. The food came out quickly especially given how many people were seated in this place.",positive
ch174,9/27/2014,revch39,3,"Atmosphere- We were here on a Monday evening and it was pretty quiet.  I would like to try on a weekend to get the full effect.  Only one other couple was seated at our table, so we had plenty of room to set our large beers and plates of food.  The band was playing, however they only played two German songs- I was kind of disappointed.  Still, there were larger groups there and they were getting pretty rowdy, it was fun interacting with them! 

Service- Our server was fine, certainly not extraordinary.  I was expecting a little more enthusiasm, this is a beer hall after all!  We did have a coupon for a small free beer with purchase of an entree and we were able to redeem without any issues.  

Food-  The food was average.  Large portions, so expect leftovers or share plates.  They definitely missed the mark on the pretzel, did not taste fresh and it wasn't served warm.  The beer was excellent.  

Recommendations- Probably would be best to go on a busy weekend night and with a large group.",negative
